notes,target
"On 8 February, resident doctors staged a fourth day of protest at Government Medical College and Hospital in Amritsar (Amritsar, Punjab) claiming a lack of action over an 'eve teasing' incident in which two female doctors were harassed by security guards. They demanded a CCTV network in the area to ensure security for doctors, as well as resignation of the Medical Superintendent. They are on indefinite strike.",Protests
"On 8 February, Punbus workers under the Punjab Roadways/Punbus Contract Workers Union staged a strike and protest in Fazilka (Fazilka, Punjab) over a dispute between a Roadways inspector and employees (details unclear).",Protests
"On 8 February, SAD leaders and members staged a protest at Bhogpur sugar mill near Adampur (Jalandhar, Punjab) after Congress allegedly kept them from filing nominations for board membership of the mill, only allowing Congress candidates. They said that police were used to keep other nominees out of the premises.",Protests
"On 8 February, a woman and child were killed, and two other children seriously injured, when an army grenade exploded accidentally in the Cantonment area of Ayodhya city (Faizabad, Uttar Pradesh). The children had picked up the grenade and were playing with it. The family was allegedly collecting scrap metal to sell and accidentally collected a live shell.",Other
"On February 8, people put up road blockades along Uripok-Kangchup road in Imphal city (Imphal West, Manipur), in a demonstration against the Citizenship Amendment Bill. Police resorted to firing tear gas shells and smoke bombs to disperse when they staged a march. They also pelted stones at the police.",Riots
"On February 8, Adivasi women under the All Adivasi Students' Association of Assam (AASAA) staged a protest along the National Highway 38 at Segunbari village in Margherita area (Tinsukia, Assam), demanding the ST status to the Adivasi community of the state.",Protests
"On February 8, the AGP organized torchlight protests in various places across Assam State, against the Citizenship (Amendment) Bill, 2016. The same day, the PM arrived in Guwahati city for public rallies and foundation-laying ceremonies across the Northeast. Members of the AASU also burnt copies of the bill in several places in Assam.",Protests
"On February 8, the AGP organized a torchlight protest in Guwahati city (Kamrup Metropolitan, Assam), against the Citizenship (Amendment) Bill, 2016. The same day, the PM arrived in Guwahati city for public rallies and foundation-laying ceremonies across the Northeast. AASU members also staged a protest with black flags.",Protests
"On 8 Feb, in Ongole (Prakasam, AP), the students JAC (AISF, SFI, PDSU, AIYF, and DYFI) staged a protest in front of the church center and burnt an effigy of the Prime Minister to oppose any plans of the Prime Minister to visit the state.",Protests
"On 8 Feb, in Guntur city (Guntur, AP), student leaders of AISF and SFI staged a protest at Bhagat Singh statue in the city to demand the Centre to accord SCS to the state and fulfill the promises mentioned in the state bifurcation act.",Protests
"On February 8, BJD MLAs marched from the assembly to the Raj Bhavan in Bhubaneswar city (Khordha, Odihsa), to submit a memorandum claiming the Centre failed to provide two crore jobs every year as promised by the BJP.",Protests
"On 8 Feb, in Bengaluru (Bengaluru Urban, Karnataka), the BJP staged a dharna in front of the Statue of Mahathma Gandhi in protest against the non-distribution of Budget copies to the MLA during a Legislative Assembly presentation. The party earlier walked out of the chambers in protest.",Protests
"On 8 Feb, National Health Mission workers staged a protest rally from the Press Colony in Srinagar city (J&K) as part of ongoing agitation calling for regularisation of employment and pay increases.",Protests
"On 8 Feb, National Health Mission workers staged a protest dharna outside the district office in Kathua town (J&K) as part of ongoing agitation calling for regularisation of employment and pay increases.",Protests
"On 8 Feb, JWAM staged a protest in Jammu city (J&K) against the ERA, JMC, PWD R&B, and PHE over substandard work in development projects.",Protests
"On 8 Feb, members of the J&K Association of Haj and Umrah Services (JKAHUS) staged a protest at the Press Enclave in Srinagar city (J&K), against a lack of effort to return Umrah pilgrims stranded at Dehli airport to Srinagar. Flights back to Srinagar have been grounded due to heavy snowfall.",Protests
"On February 8, the Nagaland GB Federation (NGBF), along with students, took out a protest rally in Kohima city (Kohima, Nagaland), demanding a solution to the Naga issue before the ensuing Lok Sabha polls, and to protest against the Citizenship Amendment Bill.",Protests
"On 8 Feb, in Rajahmundry city (East Godavari, AP), the SFI and DYFI jointly organised a programme raising slogans ""Modi Go Back"" at the Y Junction, to register their protest against proposed visit of the Prime Minister to the state on 10 Feb.",Protests
"On February 8, activists of the AASU staged a protest in front of the Deputy Commissioner's office in Jorhat city (Jorhat, Assam), demanding withdrawal of the Citizenship Amendment Bill. They also burnt a copy of the bill.",Protests
"On February 8, AASU activists staged a protest in North Lakhimpur city (Lakhimpur, Assam), against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On 8 Feb, in Guntur city (Guntur, AP), Telugu Yuvatha, a TDP youth wing, cleaned the roads in the city to protest and demand the Centre's fulfillment of its promises mentioned in the AP State Bifurcation Act.",Protests
"On 8 Feb, in Vijayawada (Krishna, AP), leaders of AP Pratyeka Hoda Sadhana Samiti staged a protest at the Gollapudi centre and blocked vehicles on the Hyderabad high way to demand the Centre to accord special category status to Andhra Pradesh.",Protests
"On 8 Feb, in Alappad village (Kollam, Kerala), residents, including members of the organisation Flood Volunteers Family and environment activists, staged a protest against mining operations in the town. Day 100",Protests
"On 8 Feb, in Mumbai city (Mumbai, Maha), protesters who are dependent on mining for their livelihood held a mass solidarity candle march from Azad Maidan to Miramar circle to call for government action to resume operations of closed mines.",Protests
"On 8 Feb, in Aruppukkottai town (Virudhunagar, TN), activists and relatives of a slain asphyxiation victim staged a day-long protest at the Aruppukottai government hospital to demand government action against manual scavenging in India.",Protests
"On February 8, locals staged a candle-lit protest in Jorhat city (Jorhat, Assam), against the Municipal Board's burning of garbage at the civic body's trenching ground.",Protests
"On February 8, an IED blast took place in an open paddy field opposite to Muslim Nagar, Moreh city (Tengnoupal,Manipur), near the Indo-Myanmar border. There was no report of casualties.",Other
"On February 8, over 100 women gheraoed the Municipality office in Khurdha city (Khordh, Odisha), alleging delay in allotment of houses for the urban poor under the Pradhan Mantri Awas Yojana (PMAY).",Protests
"On 8 Feb, people stranded by the closure of the Jammu-Srinagar highway staged a protest at the Jammu bus stand in Jammu city (J&K).",Protests
"On 8 Feb, residents of Dr. Ali Jan Road in the Soura area of Srinagar city (J&K) staged a second day of protest against a lack of electricity in the area, resulting from the PDD's failure to repair a transformer.",Protests
"Weapons seizure: On 8 Feb, in Chintagufa area (Sukma, Chhattisgarh), the CRPF and Commando Battalion for Resolute Action (CoBRA) seized a CPI-Maoist camp including a huge cache of explosives along with other articles. The rebels managed to flee before the camp was raided.",Other
"On 8 Feb, prisoners and prison guards clashed at a prison in Ayodhya ( Faizabad, UP) leaving 8 people injured including 2 prison staff. The report does not specify a reason, only that the transfer of a few prisoners from another facility in Azamgarh started the clash.",Riots
"On February 8, members of an autorickshaw union assaulted an IT executive in Dum Dum area (North 24 Parganas, West Bengal), after the man objected against one of the drivers for running into him the previous morning. The victim held a head injury that required stitches.",Riots
"On February 8, the Asom Gana Parishad (AGP) took a torchlight rally in Barpeta city (Barpeta, Assam), against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, the Asom Gana Parishad (AGP) took a torchlight rally in Dibrugarh city (Dibrugarh, Assam), against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, the Asom Gana Parishad (AGP) took a torchlight rally in Golaghat city (Golaghat, Assam), against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, the Asom Gana Parishad (AGP) took a torchlight rally in Sivasagar city (Sivasagar, Assam), against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, the Asom Gana Parishad (AGP) took a torchlight rally in Morigaon city (Morigaon, Assam), against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, the Asom Gana Parishad (AGP) took a torchlight rally in Nagaon city (Nagaon, Assam), against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, the Asom Gana Parishad (AGP) took a torchlight rally in Nalbari city (Nalbari, Assam), against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, the Asom Gana Parishad (AGP) took a torchlight rally in Sivasagar city (Sivasagar, Assam), against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, the Asom Gana Parishad (AGP) took a torchlight rally in Tinsukia city (Tinsukia, Assam), against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"Assumed on 8 Feb, near Armur town (Nizamabad, Telangana), farmers staged a small protest demanding that the central government include turmeric in the list of crops getting minimum support price (MSP).",Protests
"On February 8, NGOs and tribal parties, including the INPT, staged a protest in Manughat/Manu city (Dhalai, Tripura), demanding the withdrawal of the Citizenship (Amendment) Bill (CAB).",Protests
"On 8 Feb, in Thiruvananthapuram city (Thiruvananthapuram, Kerala), employees of the State Bank of India (SBI) affiliated with State Bank of India Employees Federation staged a protest in front of the main branch office against the anti-labour attitude of the management.",Protests
"On February 8, members of the AASU staged a protest in Mushalpur city (Baksa, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Biswanath Chariali city (Biswanath, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Bongaigaon city (Bongaigaon, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Silchar city (Cachar, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Sonari city (Charaideo, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Kajalgaon city (Chirang, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Mangaldai city (Darrang, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Dhemaji city (Dhemaji, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Dhubri city (Dhubri, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Hatsingimari city (South Salmara-Mankachar, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Dibrugarh city (Dibrugarh, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Duliajan city (Dibrugarh, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Haflong city (Dima Hasao, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Goalpara city (Goalpara, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Golaghat city (Golaghat, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Hailakandi city (Hailakandi, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Amingaon city (Kamrup, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Diphu city (Karbi Anglong, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Hamren city (West Karbi Anglong, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Karimganj city (Karimganj, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Kokrajhar city (Kokrajhar, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Garamur city (Majuli, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Morigaon city (Morigaon, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Hojai city (Hojai, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Nagaon city (Nagaon, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Nalbari city (Nalbari, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Sivasagar city (Sivasagar, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Tezpur city (Sonitpur, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Tinsukia city (Tinsukia, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the AASU staged a protest in Udalguri city (Udalguri, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On February 8, members of the Veer Lachit Sena (VLS) staged a protest in front of the Doom Dooma revenue circle in Rupai Siding viillage (Tinsukia, Assam), against the Citizenship Amendment Bill. The protest occurred during the PM's visit to the Northeast for public rallies and foundation-laying ceremonies.",Protests
"On 8 February, Dalit groups staged a dharna and threw stones at a DSP's car and a Punjab Roadways bus in Phagwara (Kapurthala, Punjab) after a clash between Balmiki/Dalit youth and Shiv Sena members earlier in the day. They demanded arrest of the Shiv Sena members for attacking them.",Riots
"On February 7, a group of people attacked the vehicle of the Chief Minister's convoy (BJP member) in Chatribari area in Guwahati city (Kamrup Metropolitan, Assam). There have been ongoing demonstrations and episodes of violence against the governemnt in the state.",Riots
"On 7 Feb, in Vanchiyoor village (Thiruvananthapuram, Kerala), a clash occurred between the BJP and CPM/DYFI at Kavaradi Junction over claiming a stake of a wall for a graffiti campaign for the Lok Sabha elections. One of the CPM/DYFI members had a machete, seriously injuring 2 BJP men.",Riots
"On February 7, at least five persons including three Assam Rifles troopers were injured in a bomb blast in Mapal Kangjaibung area in Imphal city (Imphal West, Manipur). The UNLF claimed the attack was carried by its armed wing, the Manipur People's Army (MPA).",Other
"On 7 February, an ASI at Nizamuddin Police Station was shot and injured by two unknown men near Vijay Ghat in Delhi (Delhi) while on his way home from duty. It is unclear if the attack was a robbery or motivated by some enmity or rivalry. The man was wounded but is stable.",Violence against civilians
"On February 7, at least 10 CPI-Maoist cadres were killed in an encounter with a team of about 200 Special Task Force (STF) and District Reserve Group (DRG) personnel in Borga forest in Talibod village under Bhairamgarh Police Station area (Bijapur, Chhattisgarh). The police also recovered a cache of firearms.",Other
"On 7 Feb, in Thiruvananthapuram city (Thiruvananthapuram, Kerala), the DYFI clashed with the RSS for unknown reasons leaving 4 injured from both sides.",Riots
"On 7 February, students at Jamia Millia Islamia in Okhla area of S.Delhi (Delhi) were allegedly assaulted by other students while protesting against the head of the Applied Arts Department over allegations of misconduct and harassment towards students. The assault allegedly also targeted female students, pulling off scarves and groping them. One student was seriously injured and had to be hospitalised.",Protests
"On 7 February, residents of Mehna Basti near Nathana (Bathinda, Punjab) staged a protest there after a newly built road caved in three-days after construction. They said it was built with poor materials and improperly construction. They demanded the road be repaired immediately.",Protests
"On 7 February, resident doctors staged a third day of protest at Government Medical College and Hospital in Amritsar (Amritsar, Punjab) claiming a lack of action over an 'eve teasing' incident in which two female doctors were harassed by security guards. They demanded a CCTV network in the area to ensure security for doctors, as well as resignation of the Medical Superintendent. They are on indefinite strike.",Protests
"On 7 February, contractual nurses were joined in their ongoing protest by ancillary staff and Class IV employees in demand of regularisation in Patiala (Patiala, Punjab), including a symbolic protest by 6 women who climbed on top of the Government Rajindra Hospital building on 2.6.19 to protest, saying they will stay there until demands are met and threatened suicide if they are not. The nurses also began an indefinite fast.",Protests
"On 7 February, Congress staged a walkout protest from the Himachal Pradesh assembly in Shimla (Shimla, Himachal Pradesh) saying that the BJP has failed to get the necessary investments to repair/construct national highways in the state.",Protests
"On 7 February, the Chandigarh branch of Youth Congress staged a protest against the city mayor at the offices of the Municipal Corporation in Sector 17, Chandigarh (Chandigarh). They say the mayor is pressuring the MC to for personal amenities while the entity is low on funds for public works. They brought him a microwave.",Protests
"On 7 February, farmers and labor organisations aligned with the CPI and CPI(M), including the All India Kisan Sabha, staged a protest at the Municipal Park in Mandi Ahmedgarh (Sangrur, Punjab), against the Citizenship Amendment Bill, demanding it be withdrawn for exploiting or violating fundamental rights.",Protests
"On 7 February, SAD members and victims of the Jaura Phatak rail accident from October staged a candle lit protest in Amritsar (Amritsar, Punjab) demanding more compensation from the state government for victims and family, as the promised free medical treatment had not covered cost of home rehabilitation.",Protests
"On 7 February, youth representing associations of students, laborers, farmers, and social activists from around the country staged a protest march from Red Fort to Parliament Street in New Delhi (Delhi) against the central government's education and unemployment policies. The event was organized by the Youth India Coordination Committee and included youth wings of SP, AAP, and CPI-ML.",Protests
"On 7 February, family of a youth killed in a recent road accident staged a demonstration and blocked Hisar road near Matheri Shekhan village (Ambala, Haryana) demanding construction of a pedestrian bridge there. The demonstrators were angry over the man's death and additionally damaged a roadways bus. 12 people were booked.",Riots
"On February 7, villagers vandalized the Pakdi Middle School in Mahua Police Station area (Vaishali, Bihar), after sixteen minor students were beaten up by the school Principal for not sweeping the school floor.",Riots
"On February 7, activists of the Bharatiya Janata Yuva Morcha (BJYM) hurled eggs and tomatoes and clashed with policemen while trying to gherao the Odisha Assembly in Bhubaneswar city (Kordha, Odisha), during a demonstration against the Government failur in creating jobs in the state. Several people were arrested.",Riots
"On 7 Feb, in Vijayawada (Krishna, AP), employees staged a protest along Besant Road against the Contributory Pension Scheme. Police arrested some of the protesters.",Protests
"On 7 Feb, in Mailavaram (Krishna, AP), the YSRC Party staged a protest in front of the Mylavaram police station against the fake case registration of CI and the SI against Maganti Venkata Rao. TDP men also came to protest which resulted to heated arguments between the YSRC. Police intervened to disperse the two groups.",Protests
"On February 7, people staged demonstrations in several places of Imphal city (Imphal West, Manipur), as part of a statewide demonstration called by the Manipur People Against Citizenship Amendment Bill (MANPAC). A bilboard was burnt down and the police used mock bombs to disperse the people.",Riots
"On February 7, anti-liquor activists under the Milita Odisha Nisha Nibarana Abhiyan staged a demonstration and blocked the national highway near Satsang Vihar in Bhubaneswar city (Khordha, Odisha), demanding a liquor-free state. Some of them clashed with the police and were detained.",Riots
"On 7 Feb, in Hyderabad (Hyderabad, Telangana), the Gandhi Hospital outsourcing nursing staff, including TS Medical Contract Employees & Workers Union affiliated with the AITUC, staged a protest over non-payment of salaries for last three months.",Protests
"On 7 Feb, in Medchal area (Telangana), the Medchal district AIYF and AISF jointly took out a rally from GHMC office to the ECIL Cross Roads to condemn the attack on a girl student by her offender over a spurned love proposal.",Protests
"On February 7, members of the AJYCP stopped trains in Barpeta city (Barpeta, Assam), in protest against the Citizenship Amendment Bill.",Protests
"On February 7, the Asom Jatiyatabadi Yuba Chatra Parishad (AJYCP) organized railway protests in Biswanath district (Assam), as part of a statewide demonstration against the Citizenship Amendment Bill, 2016.",Protests
"On February 7, members of the AJYCP stopped the Dekargaon - Murkongselek passenger train in the railway station near Dhemaji city (Dhemaji, Assam), in protest against the Citizenship Amendment Bill.",Protests
"On February 7, members of the AJYCP stopped the Dibrugah - Rangiya Express passenger train in the railway station in Furkating village (Golaghat, Assam), in protest against the Citizenship Amendment Bill.",Protests
"On February 7, the All Assam Students' Union (AASU) held a candlelight protest in Guwahati city (Kamrup Metropolitan, Assam), against the Citizenship Amendment Bill, 2016. The AJYCP also blocked trains near Kamakhya Junction in the city.",Protests
"On February 7, the Asom Jatiyatabadi Yuba Chatra Parishad (AJYCP) organized railway protests in several places of Assam state, as part of a statewide demonstration against the Citizenship Amendment Bill, 2016.",Protests
"On February 7, members of the AJYCP stopped the Murkongselek - Rangiya passenger train in the railway station near Harmuti city (Lakhimpur, Assam), in protest against the Citizenship Amendment Bill.",Protests
"On February 7, the Asom Jatiyatabadi Yuba Chatra Parishad (AJYCP) organized railway protests in several places of Lakhimpur district (Assam), as part of a statewide demonstration against the Citizenship Amendment Bill, 2016.",Protests
"On February 7, members of the AJYCP stopped the Dekargaon - Murkongselek passenger train in the railway station in Lumding city (Nagaon, Assam), in protest against the Citizenship Amendment Bill.",Protests
"On February 7, members of the AJYCP stopped the Dibrugah - Delhi Brahmaputra Mail passenger train in the railway station in Chaparmukh city (Nagaon, Assam), in protest against the Citizenship Amendment Bill.",Protests
"On February 7, the All Assam Students' Union (AASU) held a protest rally in Gurdon Playground in Nalbari city (Nalbari, Assam), against the Citizenship Amendment Bill, 2016. The Asom Jatiyatabadi Yuba-Chatra Parishad (AJYCP) also stopped the Mendipathar - Guwahati passenger train in the city.",Protests
"On February 7, the Asom Jatiyatabadi Yuba Chatra Parishad (AJYCP) organized railway protests in several places of Nalbari district (Assam), as part of a statewide demonstration against the Citizenship Amendment Bill, 2016.",Protests
"On February 7, the Asom Jatiyatabadi Yuba Chatra Parishad (AJYCP) organized a railway protest in Simaluguri city (Sivasagar, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill, 2016.",Protests
"On February 7, the Asom Jatiyatabadi Yuba Chatra Parishad (AJYCP) organized a railway protest in Panitola village (Tinsukia, Assam), as part of a statewide demonstration against the Citizenship Amendment Bill, 2016.",Protests
"On February 7, the Asom Jatiyatabadi Yuba Chatra Parishad (AJYCP) organized railway protests in several places of Tinsukia district (Assam), as part of a statewide demonstration against the Citizenship Amendment Bill, 2016.",Protests
"On February 7, members of the AJYCP stopped the Rangiya-Murkongchelek passenger train in Hairisinga city (Udalguri, Assam), in protest against the Citizenship Amendment Bill.",Protests
"On February 7, the Asom Jatiyatabadi Yuba Chatra Parishad (AJYCP) organized railway protests in several places of Udalguri district (Assam), as part of a statewide demonstration against the Citizenship Amendment Bill, 2016.",Protests
"On February 7, members of the CPI-M staged a protest rally in Agartala city (West Tripura, Tripura), against the Union Budget approved for 2019.",Protests
"On February 7, hundreds of medical, paramedical and managerial contractual employees staged a dharna in front of the district headquarters hospital in Puri city (Puri, Odisha), to press for several demands, including release of pending salary of last 10 months.",Protests
"On 7 Feb, in Bengaluru (Bengaluru Urban, Karnataka), Congress members staged a torchlight protest against the BJP, for not letting the Karnataka Assembly function by their absence in the assembly.",Protests
"On February 7, Congress activists staged a Rail Roko (sat on dharna at the railway tracks) at a level crossing near Charampa city (Bhadrak, Odisha), pressing for a series of demands, including construction of a flyover at Bhadrak railway station.",Protests
"On 7 Feb, in Calangute (North Goa, Goa), hundreds of rent-a-cab operators took out a morcha from St Anthony's chapel junction to the Shantadurga temple to protest against the entry of non-Goans in the car rental business.",Protests
"On 7 Feb, in Visakhapatnam city (Visakhapatnam, AP), private travel drivers and owners' association members staged a dharna near the toll plaza gate in Aganampudi to protest against the illegal toll collection at the Aganampudi toll plaza which has been ongoing despite court orders.",Protests
"On 7 Feb, in Secunderabad area (Hyderabad, Telangana), railway workers, under the call given by the South Central Railway Mazdoor Union (SCRMU), staged a protest at all depots under the Secunderabad division demanding amendment of the fitment formula in the budget allocation.",Protests
"On February 7, women vendors staged a sit in protest at Thoubal city (Thoubal, Manipur), as part of a statewide demonstration called by the Manipur People Against Citizenship Amendment Bill (MANPAC).",Protests
"On 7 Feb, in Visakhapatnam city (Visakhapatnam, AP), lawyers staged a protest near the District Court demanding health cards and a creation of High Court Bench and Debt Recovery Appellate Tribunal in Visakhapatnam.",Protests
"On February 7, the All Assam Students' Union, along with 30 other organisations, staged the Khilonjiar Xokioni (warning by the indigenous people) in Naharkatiya city (Dibrugarh, Assam), to protest against the Citizenship (Amendment) Bill, 2016.",Protests
"On 7 Feb, in Rajahmundry city (East Godavari, AP), the TDP organised a bike rally from the Morampudi junction to the Kotipalli bus station to protest against the attitude of the Prime Minister in not according the Special Category Status to the State.",Protests
"On 7 Feb, in Mysuru city (Mysuru, Karnataka), protesters under the banners of Samagra Karnataka Rakshana Vedike, Kranthi Dal, and other organizations staged a demonstration against the MCC in front of its office opposing the footpath clearance drive undertaken in all areas of the city.",Protests
"On 7 Feb, in Udumalaipettai area (Tiruppur, TN), Krishnapuram villagers staged a road blockade protest on the Udumalpet-Palani highway demanding forest officials to chase away Chinna Thambi, the crop-raiding elephant that has been roaming in the area for the last three days.",Protests
"On 7 Feb, in Tiruvannamalai area (Tiruvannamalai, TN), residents of Ramasamy nagar picketed the Tamil Nadu State Marketing Corporation Limited (TASMAC) outlet demanding that the outlet be shut down or shifted to some secluded spot.",Protests
"On February 7, locals staged a sit in protest at Sinusiphai village (Bishnupur, Manipur), as part of a statewide demonstration called by the Manipur People Against Citizenship Amendment Bill (MANPAC).",Protests
"On February 7, locals and organizations staged protests on the roads and sit-in-demonstrations in several places of Manipur state, as part of a statewide demonstration called by the Manipur People Against Citizenship Amendment Bill (MANPAC).",Protests
"On February 7, locals staged a demonstration in Changangei village (Imphal West, Manipur), as part of a statewide demonstration called by the Manipur People Against Citizenship Amendment Bill (MANPAC).",Protests
"On February 7, the All Manipur Nupi Marup (AMNM) in association with Kangmong Leikai Mapal Club staged a sit in protest at Kangmong village (Imphal West, Manipur), as part of a statewide demonstration called by the Manipur People Against Citizenship Amendment Bill (MANPAC).",Protests
"On 7 Feb, mourners raised pro-separatist and anti-India slogans during funerary prayers for a slain militant at Chakora village (Pulwama, J&K). The prayers were held amid a shutdown in the village and surrounding area.",Protests
"On 7 Feb, residents of Dr. Ali Jan road in the Soura area of Srinagar city (J&K) staged a protest against a lack of electricity in the area, resulting from the PDD's failure to repair a transformer.",Protests
"On February 7, a group of 10-15 suspected CPI-Maoist cadres abducted and shot dead a tribal member in Visagundi/Visamundi village in Bhamragad tehsil area (Gadchiroli, Maharashtra), on suspicion of being a police informer.",Violence against civilians
